company,sector,country,funding_amount_usd,employees,founded_year,valuation_usd
Stripe,Fintech,USA,95000000,8000,2010,50000000000
SpaceX,Aerospace,USA,85000000,12000,2002,137000000000
Uber,Transportation,USA,82000000,29300,2009,72000000000
Airbnb,Travel,USA,75000000,6132,2008,75000000000
Palantir,Software,USA,70000000,3500,2003,41600000000
ByteDance,Social Media,China,65000000,150000,2012,180000000000
Robinhood,Fintech,USA,55000000,3400,2013,11700000000
Canva,Design,Australia,50000000,4000,2013,40000000000
Klarna,Fintech,Sweden,46000000,7000,2005,31000000000
Revolut,Fintech,UK,42000000,8000,2015,33000000000
Nubank,Fintech,Brazil,40000000,5700,2013,30000000000
Grab,Transportation,Singapore,38000000,9500,2012,40000000000
Checkout.com,Fintech,UK,35000000,2500,2012,40000000000
Plaid,Fintech,USA,32000000,1200,2013,13400000000
Razorpay,Fintech,India,30000000,3500,2014,7500000000
Gojek,Transportation,Indonesia,28000000,5000,2010,10500000000
Figma,Design,USA,25000000,800,2012,20000000000
Notion,Productivity,USA,23000000,500,2016,10000000000
Discord,Communication,USA,22000000,600,2015,15000000000
Miro,Collaboration,Netherlands,20000000,1800,2011,17500000000
